employee,department,project_name,project_code,mon,tue,wed,thu,fri,sat,sun,total,week_start
박지수,인프라BIM팀,Smart R&D,,7,5,1,5,3,0,0,21,2025-02-03
박지수,인프라BIM팀,AI,,5,7,5,4,2,0,0,23,2025-02-03
이민호,기술연구소,AI,,5,8,1,1,6,0,0,21,2025-02-03
이민호,기술연구소,BIM,,6,0,7,4,5,0,0,22,2025-02-03
정수빈,AI응용팀,Smart R&D,,2,5,6,0,7,0,0,20,2025-02-03
정수빈,AI응용팀,기타 (Etc),,7,5,1,0,7,0,0,20,2025-02-03
한태양,디지털기술개발팀,BIM,,1,2,0,8,5,0,0,16,2025-02-03
한태양,디지털기술개발팀,기타 (Etc),,3,7,0,6,7,0,0,23,2025-02-03
강서연,R&D센터,기타 (Etc),,0,3,5,4,4,0,0,16,2025-02-03
강서연,R&D센터,Digital Technology,,3,4,3,7,0,0,0,17,2025-02-03
박지수,인프라BIM팀,Digital Technology,,2,7,7,5,3,0,0,24,2025-02-10
박지수,인프라BIM팀,Smart R&D,,7,8,7,6,2,0,0,30,2025-02-10
이민호,기술연구소,AI,,2,7,5,7,3,0,0,24,2025-02-10
이민호,기술연구소,기타 (Etc),,1,8,4,0,7,0,0,20,2025-02-10
이민호,기술연구소,BIM,,3,4,1,0,6,0,0,14,2025-02-10
정수빈,AI응용팀,AI,,1,7,0,7,1,0,0,16,2025-02-10
정수빈,AI응용팀,Smart R&D,,3,5,5,2,3,0,0,18,2025-02-10
한태양,디지털기술개발팀,Smart R&D,,1,7,6,6,2,0,0,22,2025-02-10
한태양,디지털기술개발팀,BIM,,1,0,6,3,1,0,0,11,2025-02-10
한태양,디지털기술개발팀,AI,,5,6,7,2,8,0,0,28,2025-02-10
강서연,R&D센터,BIM,,1,7,1,2,7,0,0,18,2025-02-10
강서연,R&D센터,Digital Technology,,8,7,0,1,0,0,0,16,2025-02-10
박지수,인프라BIM팀,AI,,5,7,4,2,6,0,0,24,2025-02-17
이민호,기술연구소,기타 (Etc),,7,8,7,5,6,0,0,33,2025-02-17
이민호,기술연구소,Smart R&D,,6,7,3,2,3,0,0,21,2025-02-17
이민호,기술연구소,AI,,0,3,3,4,5,0,0,15,2025-02-17
정수빈,AI응용팀,Digital Technology,,5,8,1,0,2,0,0,16,2025-02-17
정수빈,AI응용팀,BIM,,8,0,0,1,7,0,0,16,2025-02-17
한태양,디지털기술개발팀,Smart R&D,,6,0,5,6,5,0,0,22,2025-02-17
한태양,디지털기술개발팀,Digital Technology,,6,1,2,8,1,0,0,18,2025-02-17
강서연,R&D센터,AI,,0,0,5,1,8,0,0,14,2025-02-17
박지수,인프라BIM팀,Digital Technology,,4,8,4,2,7,0,0,25,2025-02-24
박지수,인프라BIM팀,Smart R&D,,0,7,1,3,6,0,0,17,2025-02-24
박지수,인프라BIM팀,BIM,,8,1,7,4,1,0,0,21,2025-02-24
이민호,기술연구소,Smart R&D,,0,2,5,3,1,0,0,11,2025-02-24
이민호,기술연구소,AI,,5,6,4,6,7,0,0,28,2025-02-24
이민호,기술연구소,BIM,,1,2,6,0,8,0,0,17,2025-02-24
정수빈,AI응용팀,AI,,7,5,3,4,0,0,0,19,2025-02-24
정수빈,AI응용팀,Digital Technology,,5,7,6,3,2,0,0,23,2025-02-24
한태양,디지털기술개발팀,기타 (Etc),,0,2,8,6,1,0,0,17,2025-02-24
강서연,R&D센터,AI,,8,4,2,7,8,0,0,29,2025-02-24
강서연,R&D센터,BIM,,1,6,1,4,4,0,0,16,2025-02-24
박지수,인프라BIM팀,BIM,,8,4,2,7,1,0,0,22,2025-03-03
박지수,인프라BIM팀,AI,,3,6,1,2,3,0,0,15,2025-03-03
박지수,인프라BIM팀,기타 (Etc),,6,5,7,3,4,0,0,25,2025-03-03
이민호,기술연구소,Digital Technology,,7,0,2,2,5,0,0,16,2025-03-03
이민호,기술연구소,AI,,5,6,7,4,6,0,0,28,2025-03-03
정수빈,AI응용팀,기타 (Etc),,1,6,2,7,0,0,0,16,2025-03-03
정수빈,AI응용팀,Smart R&D,,4,3,6,7,5,0,0,25,2025-03-03
정수빈,AI응용팀,Digital Technology,,8,2,6,3,8,0,0,27,2025-03-03
한태양,디지털기술개발팀,BIM,,1,1,5,1,8,0,0,16,2025-03-03
한태양,디지털기술개발팀,Digital Technology,,1,5,8,3,7,0,0,24,2025-03-03
한태양,디지털기술개발팀,기타 (Etc),,5,2,1,8,0,0,0,16,2025-03-03
강서연,R&D센터,기타 (Etc),,8,1,3,1,6,0,0,19,2025-03-03
박지수,인프라BIM팀,BIM,,6,4,8,4,4,0,0,26,2025-03-10
이민호,기술연구소,BIM,,5,6,7,2,6,0,0,26,2025-03-10
이민호,기술연구소,Smart R&D,,2,8,7,4,6,0,0,27,2025-03-10
이민호,기술연구소,Digital Technology,,3,8,1,5,0,0,0,17,2025-03-10
정수빈,AI응용팀,Smart R&D,,2,2,0,0,7,0,0,11,2025-03-10
정수빈,AI응용팀,Digital Technology,,0,0,1,4,8,0,0,13,2025-03-10
한태양,디지털기술개발팀,Smart R&D,,8,2,1,5,8,0,0,24,2025-03-10
한태양,디지털기술개발팀,Digital Technology,,7,4,8,6,6,0,0,31,2025-03-10
강서연,R&D센터,AI,,7,6,2,1,7,0,0,23,2025-03-10
강서연,R&D센터,기타 (Etc),,2,1,6,1,6,0,0,16,2025-03-10
박지수,인프라BIM팀,Digital Technology,,5,8,5,1,1,0,0,20,2025-03-17
박지수,인프라BIM팀,AI,,0,8,4,6,4,0,0,22,2025-03-17
박지수,인프라BIM팀,기타 (Etc),,0,7,3,8,5,0,0,23,2025-03-17
이민호,기술연구소,AI,,1,3,1,8,6,0,0,19,2025-03-17
이민호,기술연구소,Smart R&D,,4,1,2,8,5,0,0,20,2025-03-17
이민호,기술연구소,BIM,,0,8,3,5,0,0,0,16,2025-03-17
정수빈,AI응용팀,기타 (Etc),,1,0,0,2,5,0,0,8,2025-03-17
한태양,디지털기술개발팀,Smart R&D,,0,1,0,8,8,0,0,17,2025-03-17
강서연,R&D센터,AI,,4,8,6,0,4,0,0,22,2025-03-17
강서연,R&D센터,BIM,,4,2,5,4,3,0,0,18,2025-03-17
강서연,R&D센터,Digital Technology,,1,1,2,6,0,0,0,10,2025-03-17
박지수,인프라BIM팀,Smart R&D,,6,5,1,5,0,0,0,17,2025-03-24
이민호,기술연구소,BIM,,8,3,8,5,3,0,0,27,2025-03-24
이민호,기술연구소,Smart R&D,,8,6,6,2,7,0,0,29,2025-03-24
정수빈,AI응용팀,BIM,,0,3,0,5,6,0,0,14,2025-03-24
한태양,디지털기술개발팀,AI,,3,5,4,7,4,0,0,23,2025-03-24
한태양,디지털기술개발팀,BIM,,7,4,4,6,0,0,0,21,2025-03-24
한태양,디지털기술개발팀,Digital Technology,,2,2,2,2,0,0,0,8,2025-03-24
강서연,R&D센터,AI,,6,5,6,2,3,0,0,22,2025-03-24
강서연,R&D센터,BIM,,8,7,3,6,2,0,0,26,2025-03-24
강서연,R&D센터,Digital Technology,,5,0,3,6,4,0,0,18,2025-03-24
박지수,인프라BIM팀,AI,,0,1,8,1,3,0,0,13,2025-03-31
이민호,기술연구소,AI,,2,3,1,5,7,0,0,18,2025-03-31
이민호,기술연구소,BIM,,8,3,2,1,0,0,0,14,2025-03-31
정수빈,AI응용팀,BIM,,1,1,3,1,4,0,0,10,2025-03-31
정수빈,AI응용팀,Smart R&D,,0,7,2,0,2,0,0,11,2025-03-31
한태양,디지털기술개발팀,Smart R&D,,7,2,0,5,0,0,0,14,2025-03-31
한태양,디지털기술개발팀,Digital Technology,,0,3,4,4,4,0,0,15,2025-03-31
한태양,디지털기술개발팀,기타 (Etc),,7,3,4,4,1,0,0,19,2025-03-31
강서연,R&D센터,AI,,5,4,6,7,5,0,0,27,2025-03-31
강서연,R&D센터,Smart R&D,,0,1,2,4,8,0,0,15,2025-03-31
박지수,인프라BIM팀,Smart R&D,,6,3,3,2,1,0,0,15,2025-04-07
이민호,기술연구소,Digital Technology,,8,8,2,4,7,0,0,29,2025-04-07
이민호,기술연구소,BIM,,8,5,4,8,7,0,0,32,2025-04-07
정수빈,AI응용팀,Digital Technology,,5,7,1,4,5,0,0,22,2025-04-07
정수빈,AI응용팀,AI,,5,4,8,6,3,0,0,26,2025-04-07
한태양,디지털기술개발팀,Smart R&D,,0,6,8,3,5,0,0,22,2025-04-07
한태양,디지털기술개발팀,AI,,0,5,8,7,5,0,0,25,2025-04-07
한태양,디지털기술개발팀,Digital Technology,,3,1,1,8,2,0,0,15,2025-04-07
강서연,R&D센터,BIM,,2,5,7,0,8,0,0,22,2025-04-07
강서연,R&D센터,Smart R&D,,3,1,0,1,1,0,0,6,2025-04-07
강서연,R&D센터,Digital Technology,,8,3,0,2,5,0,0,18,2025-04-07
박지수,인프라BIM팀,Digital Technology,,2,8,1,3,7,0,0,21,2025-04-14
이민호,기술연구소,기타 (Etc),,6,6,7,6,0,0,0,25,2025-04-14
이민호,기술연구소,Smart R&D,,6,0,2,4,8,0,0,20,2025-04-14
이민호,기술연구소,Digital Technology,,2,4,7,2,8,0,0,23,2025-04-14
정수빈,AI응용팀,Smart R&D,,3,1,2,2,4,0,0,12,2025-04-14
정수빈,AI응용팀,Digital Technology,,6,6,8,2,4,0,0,26,2025-04-14
정수빈,AI응용팀,BIM,,2,0,2,2,1,0,0,7,2025-04-14
한태양,디지털기술개발팀,AI,,7,7,2,8,4,0,0,28,2025-04-14
강서연,R&D센터,BIM,,1,7,3,0,7,0,0,18,2025-04-14
강서연,R&D센터,Smart R&D,,3,8,5,7,4,0,0,27,2025-04-14
강서연,R&D센터,AI,,2,8,7,2,4,0,0,23,2025-04-14
박지수,인프라BIM팀,BIM,,3,0,6,7,3,0,0,19,2025-04-21
이민호,기술연구소,Smart R&D,,6,3,1,2,3,0,0,15,2025-04-21
이민호,기술연구소,AI,,6,4,7,6,1,0,0,24,2025-04-21
이민호,기술연구소,BIM,,3,4,5,2,4,0,0,18,2025-04-21
정수빈,AI응용팀,기타 (Etc),,0,5,1,8,2,0,0,16,2025-04-21
정수빈,AI응용팀,BIM,,6,7,2,0,3,0,0,18,2025-04-21
정수빈,AI응용팀,Digital Technology,,3,2,4,3,4,0,0,16,2025-04-21
한태양,디지털기술개발팀,AI,,4,6,6,6,4,0,0,26,2025-04-21
한태양,디지털기술개발팀,기타 (Etc),,0,5,6,0,6,0,0,17,2025-04-21
한태양,디지털기술개발팀,BIM,,2,0,5,8,2,0,0,17,2025-04-21
강서연,R&D센터,기타 (Etc),,0,8,6,3,1,0,0,18,2025-04-21
강서연,R&D센터,BIM,,6,4,2,8,6,0,0,26,2025-04-21
박지수,인프라BIM팀,AI,,3,7,7,6,6,0,0,29,2025-04-28
박지수,인프라BIM팀,BIM,,3,7,1,3,6,0,0,20,2025-04-28
박지수,인프라BIM팀,Digital Technology,,3,3,6,8,4,0,0,24,2025-04-28
이민호,기술연구소,AI,,0,5,1,2,1,0,0,9,2025-04-28
이민호,기술연구소,BIM,,0,7,8,5,1,0,0,21,2025-04-28
이민호,기술연구소,Digital Technology,,2,7,5,5,5,0,0,24,2025-04-28
정수빈,AI응용팀,기타 (Etc),,2,1,1,1,6,0,0,11,2025-04-28
한태양,디지털기술개발팀,AI,,1,5,5,7,6,0,0,24,2025-04-28
한태양,디지털기술개발팀,Smart R&D,,2,5,3,2,8,0,0,20,2025-04-28
강서연,R&D센터,AI,,6,8,6,7,7,0,0,34,2025-04-28
박지수,인프라BIM팀,Digital Technology,,2,7,7,7,1,0,0,24,2025-05-05
이민호,기술연구소,AI,,1,3,4,1,0,0,0,9,2025-05-05
이민호,기술연구소,BIM,,3,8,5,5,5,0,0,26,2025-05-05
이민호,기술연구소,Digital Technology,,2,3,1,3,2,0,0,11,2025-05-05
정수빈,AI응용팀,Digital Technology,,0,3,1,7,5,0,0,16,2025-05-05
정수빈,AI응용팀,BIM,,4,3,2,8,2,0,0,19,2025-05-05
정수빈,AI응용팀,Smart R&D,,4,2,4,0,2,0,0,12,2025-05-05
한태양,디지털기술개발팀,AI,,5,4,0,4,5,0,0,18,2025-05-05
한태양,디지털기술개발팀,BIM,,6,4,0,6,6,0,0,22,2025-05-05
강서연,R&D센터,Smart R&D,,3,8,5,5,1,0,0,22,2025-05-05
강서연,R&D센터,Digital Technology,,7,5,5,8,8,0,0,33,2025-05-05
강서연,R&D센터,기타 (Etc),,0,3,7,0,6,0,0,16,2025-05-05
박지수,인프라BIM팀,BIM,,3,1,3,7,0,0,0,14,2025-05-12
박지수,인프라BIM팀,Digital Technology,,8,5,2,2,4,0,0,21,2025-05-12
박지수,인프라BIM팀,기타 (Etc),,2,7,4,6,0,0,0,19,2025-05-12
이민호,기술연구소,BIM,,0,6,8,3,8,0,0,25,2025-05-12
이민호,기술연구소,Smart R&D,,1,8,3,4,7,0,0,23,2025-05-12
정수빈,AI응용팀,Digital Technology,,3,8,8,1,7,0,0,27,2025-05-12
정수빈,AI응용팀,기타 (Etc),,8,7,4,7,2,0,0,28,2025-05-12
한태양,디지털기술개발팀,BIM,,5,4,5,3,5,0,0,22,2025-05-12
강서연,R&D센터,Digital Technology,,1,7,3,2,1,0,0,14,2025-05-12
박지수,인프라BIM팀,BIM,,6,1,4,6,7,0,0,24,2025-05-19
박지수,인프라BIM팀,기타 (Etc),,4,5,2,1,1,0,0,13,2025-05-19
이민호,기술연구소,AI,,5,3,3,5,1,0,0,17,2025-05-19
이민호,기술연구소,BIM,,8,1,5,7,5,0,0,26,2025-05-19
정수빈,AI응용팀,Smart R&D,,8,8,1,0,3,0,0,20,2025-05-19
정수빈,AI응용팀,AI,,0,3,7,0,8,0,0,18,2025-05-19
한태양,디지털기술개발팀,AI,,6,3,0,0,7,0,0,16,2025-05-19
한태양,디지털기술개발팀,Digital Technology,,5,7,3,6,8,0,0,29,2025-05-19
강서연,R&D센터,기타 (Etc),,4,0,0,8,5,0,0,17,2025-05-19
박지수,인프라BIM팀,AI,,6,0,7,2,0,0,0,15,2025-05-26
이민호,기술연구소,기타 (Etc),,8,6,3,2,7,0,0,26,2025-05-26
이민호,기술연구소,Smart R&D,,8,7,2,8,0,0,0,25,2025-05-26
정수빈,AI응용팀,Smart R&D,,3,0,8,2,2,0,0,15,2025-05-26
한태양,디지털기술개발팀,기타 (Etc),,5,2,2,3,8,0,0,20,2025-05-26
강서연,R&D센터,Digital Technology,,5,7,5,2,1,0,0,20,2025-05-26
강서연,R&D센터,BIM,,1,2,8,0,1,0,0,12,2025-05-26
강서연,R&D센터,기타 (Etc),,7,8,6,4,0,0,0,25,2025-05-26
박지수,인프라BIM팀,AI,,0,1,1,3,1,0,0,6,2025-06-02
박지수,인프라BIM팀,BIM,,3,2,7,5,5,0,0,22,2025-06-02
박지수,인프라BIM팀,Digital Technology,,8,0,0,1,3,0,0,12,2025-06-02
이민호,기술연구소,Digital Technology,,6,4,6,2,3,0,0,21,2025-06-02
이민호,기술연구소,BIM,,3,1,3,0,4,0,0,11,2025-06-02
정수빈,AI응용팀,Smart R&D,,6,2,4,0,0,0,0,12,2025-06-02
정수빈,AI응용팀,AI,,4,6,5,4,5,0,0,24,2025-06-02
정수빈,AI응용팀,기타 (Etc),,2,3,4,5,7,0,0,21,2025-06-02
한태양,디지털기술개발팀,Digital Technology,,7,4,3,4,3,0,0,21,2025-06-02
한태양,디지털기술개발팀,Smart R&D,,7,8,3,3,3,0,0,24,2025-06-02
한태양,디지털기술개발팀,AI,,5,6,5,1,7,0,0,24,2025-06-02
강서연,R&D센터,기타 (Etc),,8,0,1,0,6,0,0,15,2025-06-02
박지수,인프라BIM팀,AI,,5,0,7,1,0,0,0,13,2025-06-09
박지수,인프라BIM팀,BIM,,5,1,7,8,7,0,0,28,2025-06-09
이민호,기술연구소,기타 (Etc),,1,1,6,3,3,0,0,14,2025-06-09
이민호,기술연구소,Digital Technology,,6,5,0,2,5,0,0,18,2025-06-09
이민호,기술연구소,Smart R&D,,1,5,1,1,1,0,0,9,2025-06-09
정수빈,AI응용팀,Smart R&D,,4,5,0,3,4,0,0,16,2025-06-09
정수빈,AI응용팀,Digital Technology,,8,1,1,3,4,0,0,17,2025-06-09
한태양,디지털기술개발팀,BIM,,8,8,3,7,1,0,0,27,2025-06-09
강서연,R&D센터,기타 (Etc),,6,8,2,2,6,0,0,24,2025-06-09
강서연,R&D센터,Smart R&D,,4,6,2,5,1,0,0,18,2025-06-09
강서연,R&D센터,Digital Technology,,3,3,3,5,1,0,0,15,2025-06-09
박지수,인프라BIM팀,Smart R&D,,8,0,0,5,0,0,0,13,2025-06-16
박지수,인프라BIM팀,BIM,,6,0,2,0,2,0,0,10,2025-06-16
이민호,기술연구소,BIM,,7,8,3,4,4,0,0,26,2025-06-16
이민호,기술연구소,AI,,8,2,7,4,6,0,0,27,2025-06-16
정수빈,AI응용팀,BIM,,7,2,4,6,1,0,0,20,2025-06-16
정수빈,AI응용팀,AI,,3,2,8,4,8,0,0,25,2025-06-16
한태양,디지털기술개발팀,Digital Technology,,7,5,2,1,5,0,0,20,2025-06-16
한태양,디지털기술개발팀,AI,,6,4,7,4,0,0,0,21,2025-06-16
강서연,R&D센터,Smart R&D,,6,1,3,0,3,0,0,13,2025-06-16
박지수,인프라BIM팀,Smart R&D,,3,2,5,8,4,0,0,22,2025-06-23
박지수,인프라BIM팀,기타 (Etc),,7,0,6,2,6,0,0,21,2025-06-23
이민호,기술연구소,AI,,6,5,4,5,2,0,0,22,2025-06-23
이민호,기술연구소,Digital Technology,,5,4,1,5,1,0,0,16,2025-06-23
정수빈,AI응용팀,Digital Technology,,2,2,3,1,4,0,0,12,2025-06-23
정수빈,AI응용팀,AI,,3,0,7,0,7,0,0,17,2025-06-23
한태양,디지털기술개발팀,AI,,2,1,5,8,8,0,0,24,2025-06-23
강서연,R&D센터,Smart R&D,,3,3,7,6,0,0,0,19,2025-06-23
강서연,R&D센터,AI,,1,5,8,6,6,0,0,26,2025-06-23
강서연,R&D센터,BIM,,1,1,8,0,0,0,0,10,2025-06-23
박지수,인프라BIM팀,기타 (Etc),,0,6,6,4,8,0,0,24,2025-06-30
이민호,기술연구소,Smart R&D,,5,1,4,0,6,0,0,16,2025-06-30
이민호,기술연구소,기타 (Etc),,4,3,2,8,0,0,0,17,2025-06-30
이민호,기술연구소,AI,,6,8,7,5,3,0,0,29,2025-06-30
정수빈,AI응용팀,BIM,,3,6,5,8,0,0,0,22,2025-06-30
정수빈,AI응용팀,기타 (Etc),,0,0,6,1,1,0,0,8,2025-06-30
정수빈,AI응용팀,Smart R&D,,2,2,3,6,0,0,0,13,2025-06-30
한태양,디지털기술개발팀,기타 (Etc),,3,4,7,7,7,0,0,28,2025-06-30
강서연,R&D센터,Smart R&D,,7,4,2,3,4,0,0,20,2025-06-30
강서연,R&D센터,Digital Technology,,2,8,0,0,1,0,0,11,2025-06-30
강서연,R&D센터,BIM,,4,7,3,2,2,0,0,18,2025-06-30
박지수,인프라BIM팀,기타 (Etc),,6,7,0,4,5,0,0,22,2025-07-07
박지수,인프라BIM팀,Smart R&D,,2,2,1,1,1,0,0,7,2025-07-07
이민호,기술연구소,Smart R&D,,3,0,4,8,1,0,0,16,2025-07-07
정수빈,AI응용팀,Digital Technology,,0,2,4,0,3,0,0,9,2025-07-07
한태양,디지털기술개발팀,Smart R&D,,7,5,1,6,8,0,0,27,2025-07-07
강서연,R&D센터,BIM,,3,1,1,2,6,0,0,13,2025-07-07
박지수,인프라BIM팀,기타 (Etc),,2,5,1,5,4,0,0,17,2025-07-14
박지수,인프라BIM팀,Smart R&D,,8,3,2,8,3,0,0,24,2025-07-14
박지수,인프라BIM팀,AI,,8,8,0,4,5,0,0,25,2025-07-14
이민호,기술연구소,Digital Technology,,2,4,1,7,8,0,0,22,2025-07-14
이민호,기술연구소,Smart R&D,,8,1,0,2,3,0,0,14,2025-07-14
이민호,기술연구소,AI,,1,4,0,0,8,0,0,13,2025-07-14
정수빈,AI응용팀,AI,,3,5,3,8,4,0,0,23,2025-07-14
한태양,디지털기술개발팀,AI,,0,5,2,4,5,0,0,16,2025-07-14
강서연,R&D센터,기타 (Etc),,3,5,0,2,1,0,0,11,2025-07-14
박지수,인프라BIM팀,AI,,6,0,0,6,2,0,0,14,2025-07-21
이민호,기술연구소,Smart R&D,,5,4,3,5,1,0,0,18,2025-07-21
이민호,기술연구소,Digital Technology,,2,2,3,5,0,0,0,12,2025-07-21
정수빈,AI응용팀,기타 (Etc),,0,2,7,6,6,0,0,21,2025-07-21
한태양,디지털기술개발팀,BIM,,4,3,7,2,1,0,0,17,2025-07-21
한태양,디지털기술개발팀,AI,,8,5,0,8,1,0,0,22,2025-07-21
강서연,R&D센터,기타 (Etc),,0,8,6,1,4,0,0,19,2025-07-21
강서연,R&D센터,Smart R&D,,4,5,7,2,6,0,0,24,2025-07-21
강서연,R&D센터,Digital Technology,,5,5,5,0,6,0,0,21,2025-07-21
박지수,인프라BIM팀,BIM,,3,4,6,3,5,0,0,21,2025-07-28
이민호,기술연구소,AI,,0,2,6,0,0,0,0,8,2025-07-28
정수빈,AI응용팀,Smart R&D,,0,4,4,1,7,0,0,16,2025-07-28
정수빈,AI응용팀,BIM,,2,7,7,5,0,0,0,21,2025-07-28
정수빈,AI응용팀,AI,,7,2,5,5,0,0,0,19,2025-07-28
한태양,디지털기술개발팀,Smart R&D,,2,4,3,1,6,0,0,16,2025-07-28
한태양,디지털기술개발팀,기타 (Etc),,0,6,1,0,7,0,0,14,2025-07-28
한태양,디지털기술개발팀,BIM,,7,2,0,4,7,0,0,20,2025-07-28
강서연,R&D센터,Smart R&D,,7,0,1,5,6,0,0,19,2025-07-28
박지수,인프라BIM팀,AI,,1,3,3,7,8,0,0,22,2025-08-04
이민호,기술연구소,BIM,,6,2,2,3,6,0,0,19,2025-08-04
정수빈,AI응용팀,Digital Technology,,5,7,3,6,7,0,0,28,2025-08-04
